year,spen.ch,spen.so,spen.co,spen.pi,spen.cm,ch.ch,ch.so,ch.co,ch.pi,ch.cm,kod.ch,kod.so,kod.co,kod.pi,kod.cm,ci.ch,ci.so,ci.co,ci.pi,ci.cm,pws.ch,pws.so,pws.co,pws.pi,pws.cm,se.ch,se.so,se.co,se.pi,se.cm
1964,3.204119983,5.782615932,4.534026106,6.460010315,5.389520466,2.945468585,5.346480114,3.962037687,6.048502787,4.878194228,3.243781916,5.80047375,4.426055582,6.46042136,5.35541512,3.904985881,6.271219446,5.188875072,5.144764073,5.582383849,4.130237248,6.053185274,5.225596132,6.391159964,5.438469565,5.478547738,6.022889641,6.189845296,7.036626261,6.25777742
1965,3.146128036,5.468495025,3.799340549,5.480438147,5.512284063,2.828659897,5.670128912,4.176641017,5.834894799,5.349978439,3.286905353,5.489615406,4.830588669,7.031633916,5.87530903,3.662757832,6.148943664,5.469970681,6.41259829,6.077094523,4.052155067,5.75259232,5.278463212,6.431385478,5.535815467,5.520632857,5.987461133,6.088952504,7.310442007,6.422303991
1966,3.278753601,5.844973938,3.462397998,4.890979597,5.590172832,3.537189226,5.943716553,3.971971276,5.037350789,4.8311336,3.39252109,5.88103811,4.015108161,5.27372565,5.72829939,4.095587747,6.079234082,5.25636892,5.61035882,5.519904087,4.241147862,5.85805632,5.393116978,6.419446186,5.50680393,5.496675082,5.919483419,5.937631215,6.492935049,5.749286333
1967,3.256717746,5.960375631,4.492760389,6.10961229,5.997101859,3.08849047,5.491449945,3.342422681,6.110811851,5.667085749,3.03702788,5.771940798,4.753038893,6.942906584,5.963774609,3.927113612,5.911184252,5.676997966,6.456918117,5.999706752,4.31031088,6.008818541,5.490932791,6.390353894,5.364267627,5.507803268,5.909329196,6.188392664,7.399421013,6.388400697
1968,3.33725954,6.250304094,4.037426498,6.086146191,6.135437028,3.303196057,6.122481618,4.258397804,6.250314832,5.548944371,2.963787827,5.962391594,4.68805479,7.096938606,6.187927752,4.297497886,5.877098242,5.006786831,5.372665342,5.677270153,4.304102592,6.094611911,4.974530114,6.683895606,5.763092409,5.52371786,5.824716645,5.775603167,6.687516922,6.289165599
1969,3.124504225,5.85496579,4.512831093,6.240046024,5.864400714,2.666517981,6.006951838,4.186051791,6.109857526,4.894072258,3.113943352,5.679862882,4.822325025,7.080503756,6.065867904,4.208817439,5.818580181,5.447399928,6.14244547,5.848614579,4.361784479,5.870371712,5.402503832,6.448805532,4.663587862,5.457623059,5.794663681,5.880051194,7.027636188,6.468696546
1970,2.618048097,5.746184105,4.228066553,6.159877164,5.466783125,2.720159303,5.578259753,4.163071882,5.786957167,3.940367046,2.903089987,5.347915187,4.358772151,6.636938206,5.502319216,3.727459921,5.972073642,5.022003355,5.631945759,5.89380946,4.354838056,5.989500987,5.515472466,6.864079539,5.869241697,5.536082225,5.962236706,5.961127668,6.970570243,6.262966479
1971,2.764176132,5.518633683,3.904228516,4.893323364,4.856281681,2.40654018,5.93969593,4.292588312,4.858777737,4.537239649,2.736396502,5.22360236,4.219794027,6.39423045,5.396711826,3.831165634,5.844622538,4.919951036,5.817725969,5.619145526,4.313909383,5.674901538,5.095761959,4.756560043,4.950413539,5.539819787,6.004945707,6.178555103,7.09341412,6.225981659
1972,2.068185862,5.29480339,3.819478128,4.763809705,5.116441698,2.739572344,5.821451295,4.348733104,4.406063046,4.400727898,2.004321374,5.621966228,3.553033016,5.709022207,4.926501933,3.693111115,5.719839048,5.027435235,5.801806258,5.98831008,4.348791468,5.870017434,5.29889454,6.315097523,5.00554942,5.478143538,5.837208264,5.922387023,6.809907146,5.836713287
1973,3.341632336,5.386584568,3.971554153,5.002602298,5.726322059,3.359835482,5.601617872,4.087958789,4.845203499,4.910640411,2.88422877,5.134871678,4.134527718,6.422786098,5.86952213,4.053731316,5.853065165,5.315212291,5.727810371,5.716528355,4.515277604,5.737696641,4.88104782,5.661452043,5.568972206,5.383458093,5.389504525,6.106591678,6.689198095,6.01320685
1974,2.747411808,5.574062536,1.826074803,4.782773516,5.385904637,2.851258349,6.065851484,4.726588669,4.820628317,5.043173584,2.767155866,5.807185829,4.373996384,6.468760895,6.030321571,4.176351758,6.236111071,5.368441232,6.146063197,6.139725168,4.359152211,6.003921725,4.92484247,6.648656694,5.75828042,5.455179976,5.77470597,5.630790822,6.604929861,5.868481621
